id,date,content,username,replyCount,retweetCount,likeCount,sentiment
1647355027151896576,2023-04-15 21:43:39,,elonmusk,568,618,16888,neutral
1647353787835637763,2023-04-15 21:38:44,Yes,elonmusk,124,72,1758,neutral
1647352347608207360,2023-04-15 21:33:00,True Wish it wasn’t,elonmusk,238,859,9812,positive
1647352121363161088,2023-04-15 21:32:06,Tolkien barely survived Bolitho too Both born in South Africa almost to die in trenches for nothing,elonmusk,1298,2503,33094,positive
1647349297220812802,2023-04-15 21:20:53,Yay Nice work Dragon Team,elonmusk,1990,3853,51739,positive
1647348953959071744,2023-04-15 21:19:31,Well said,elonmusk,75,267,4809,neutral
1647345410162450432,2023-04-15 21:05:26,Also the plot of Deus Ex,elonmusk,8241,36181,313188,neutral
1647344011659870208,2023-04-15 20:59:53,Probably people would,elonmusk,456,316,5241,neutral
1647339741610926080,2023-04-15 20:42:55,,elonmusk,3456,6620,78925,neutral
1647339528833896449,2023-04-15 20:42:04,I will do a Starship Spaces at pm CT tomorrow for subscribers only,elonmusk,4753,5297,64802,neutral
1647339015132299264,2023-04-15 20:40:01,Creators in Japan Canada Australia and New Zealand can now enable subscriptions on this platform Our goal is to maximize the prosperity of creators,elonmusk,4138,8886,91783,positive
1606277491248840705,2022-12-23 13:16:11,I have a friend who just started working with and she said they offered her K dh btw she is fresh graduate,MxSoufian,0,0,4,positive
1516171585174085645,2022-04-18 21:47:29,Live stream about CP problems,MxSoufian,1,0,0,positive
1512895540945723400,2022-04-09 20:49:39,Maybe just one day so I can pay my university tuitions,MxSoufian,0,0,0,neutral
1437713484695941123,2021-09-14 09:43:00,What is the best way to start a career in sport analytics since I am majoring in Big Data Analytics And are their any local football teams want to be part of this project,MxSoufian,0,0,1,positive
1424314293546328067,2021-08-08 10:19:24,You were you are and you will a legend Thank you for making football an art,MxSoufian,0,0,0,neutral
1390085963020439554,2021-05-05 23:28:14,The bee,MxSoufian,0,0,0,neutral
1383735308043177984,2021-04-18 10:53:00,Well form is both global and loca,MxSoufian,0,0,0,neutral
1367560563061125128,2021-03-04 19:40:20,FIL Is it necessary to have persons in the team It can t be only one,MxSoufian,1,0,0,neutral
1357424695633674241,2021-02-04 20:24:01,It s okay we accept any giveaway,MxSoufian,0,0,1,positive
1357343001152917506,2021-02-04 14:59:24,Finally has k we want a giveaway,MxSoufian,1,2,2,neutral
1344212564834713602,2020-12-30 09:23:44,English and Darija we have to communicate in English because our partnerships form Europe,MxSoufian,1,0,1,neutral
1606277491248840705,2022-12-23 13:16:11,I have a friend who just started working with and she said they offered her K dh btw she is fresh graduate,MxSoufian,0,0,3,positive
1516171585174085645,2022-04-18 21:47:29,Live stream about CP problems,MxSoufian,1,0,0,positive
1512895540945723400,2022-04-09 20:49:39,Maybe just one day so I can pay my university tuitions,MxSoufian,0,0,0,neutral
1437713484695941123,2021-09-14 09:43:00,What is the best way to start a career in sport analytics since I am majoring in Big Data Analytics And are their any local football teams want to be part of this project,MxSoufian,0,0,1,positive
1424314293546328067,2021-08-08 10:19:24,You were you are and you will a legend Thank you for making football an art,MxSoufian,0,0,0,neutral
1390085963020439554,2021-05-05 23:28:14,The bee,MxSoufian,0,0,0,neutral
1383735308043177984,2021-04-18 10:53:00,Well form is both global and loca,MxSoufian,0,0,0,neutral
1367560563061125128,2021-03-04 19:40:20,FIL Is it necessary to have persons in the team It can t be only one,MxSoufian,1,0,0,neutral
1357424695633674241,2021-02-04 20:24:01,It s okay we accept any giveaway,MxSoufian,0,0,1,positive
1357343001152917506,2021-02-04 14:59:24,Finally has k we want a giveaway,MxSoufian,1,2,2,neutral
1344212564834713602,2020-12-30 09:23:44,English and Darija we have to communicate in English because our partnerships form Europe,MxSoufian,1,0,1,neutral
1343909292492136452,2020-12-29 13:18:38,Honesty you said the truth,MxSoufian,1,0,1,neutral
1248298686804832256,2020-04-09 17:16:13,We are a human being and not animals,MxSoufian,0,0,0,neutral
1248298525529694209,2020-04-09 17:15:35,l Afrique n est pas un rat de laboratoire,MxSoufian,0,0,0,neutral
1233166279713918976,2020-02-27 23:05:26,Rest in peace,MxSoufian,0,0,0,neutral
1231339684061683712,2020-02-22 22:07:12,Congratulations I wish best of luc,MxSoufian,1,0,0,positive
1213232903376818176,2020-01-03 22:57:19,Trump attempting to start WW just to keep Liverpool away from the PL title,MxSoufian,0,1,5,neutral
1163987422448881664,2019-08-21 01:33:22,FIL Benguerir,MxSoufian,1,0,3,neutral
